"methods";"AUCPR"
"BPCA";67.26
"GMS";65.38
"ImpSeq";67.2
"ImpSeqRob";64.11
"KNN";59.33
"MinProb";72.56
"MissForest";63.87
"MLE";62.77
"msImpute_mar";71.78
"msImpute_mnar";73.88
"Pirat";77.02
"QRILC";68.08
"SeqKNN";66.6
"SVD";67.32
"trKNN";64.15
